HR@1,HR@10,HR@20,HR@3,HR@5,HR@50,NDCG@1,NDCG@10,NDCG@20,NDCG@3,NDCG@5,NDCG@50,checkpoint,checkpoint_step,experiment,status
0.0667,0.1052,0.1242,0.0844,0.092,0.1633,0.0667,0.0847,0.0894,0.0773,0.0804,0.0971,checkpoint-1332,1332,Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0694,0.106,0.1243,0.0863,0.0927,0.1631,0.0694,0.0863,0.0909,0.0794,0.0821,0.0985,checkpoint-1665,1665,Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0692,0.1027,0.1196,0.0848,0.0908,0.1547,0.0692,0.0847,0.089,0.0784,0.0809,0.0959,checkpoint-1998,1998,Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0671,0.0998,0.1194,0.0804,0.0865,0.1608,0.0671,0.0815,0.0865,0.0747,0.0773,0.0946,checkpoint-333,333,Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495-backup,
,,,,,,,,,,,,,,Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495-backup/checkpoint-333,no_checkpoints
0.0647,0.0977,0.116,0.0785,0.0852,0.15,0.0647,0.0796,0.0842,0.0729,0.0756,0.0909,checkpoint-333,333,Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0665,0.1004,0.1201,0.0795,0.0878,0.1585,0.0665,0.0815,0.0865,0.0741,0.0775,0.0941,checkpoint-666,666,Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.064,0.1038,0.1243,0.0798,0.0892,0.1601,0.064,0.0819,0.087,0.0733,0.0772,0.0941,checkpoint-999,999,Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.07,0.1046,0.124,0.0853,0.0919,0.1636,0.07,0.0857,0.0906,0.079,0.0816,0.0985,checkpoint-1332,1332,Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0669,0.1047,0.1237,0.0836,0.0924,0.161,0.0669,0.0845,0.0893,0.0769,0.0806,0.0967,checkpoint-1665,1665,Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0191,0.051,0.0769,0.0281,0.0358,0.1156,0.0191,0.0324,0.0387,0.0243,0.0274,0.0462,checkpoint-333,333,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0137,0.0517,0.0732,0.0389,0.0441,0.1071,0.0137,0.0334,0.0387,0.0288,0.0309,0.0452,checkpoint-666,666,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0335,0.0469,0.073,0.0364,0.0393,0.1003,0.0335,0.0388,0.0452,0.0352,0.0364,0.0505,checkpoint-999,999,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0301,0.0494,0.0729,0.0385,0.0415,0.1023,0.0301,0.0389,0.0447,0.0351,0.0364,0.0504,checkpoint-1332,1332,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0296,0.0496,0.0728,0.0372,0.0411,0.1007,0.0296,0.0383,0.044,0.034,0.0356,0.0494,checkpoint-1665,1665,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0264,0.0514,0.0739,0.0402,0.0439,0.1085,0.0264,0.0385,0.044,0.0346,0.0361,0.0507,checkpoint-1998,1998,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0227,0.0534,0.0797,0.038,0.0441,0.1089,0.0227,0.0372,0.0436,0.0317,0.0342,0.0493,checkpoint-2331,2331,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0193,0.0539,0.0804,0.0356,0.0432,0.1091,0.0193,0.0354,0.0418,0.0287,0.0319,0.0474,checkpoint-2664,2664,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0206,0.0537,0.0776,0.0375,0.0452,0.1116,0.0206,0.0362,0.0419,0.0302,0.0334,0.0487,checkpoint-2997,2997,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0224,0.0537,0.0786,0.0382,0.0458,0.1103,0.0224,0.0371,0.0431,0.0315,0.0346,0.0495,checkpoint-3326,3326,Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0624,0.1023,0.1238,0.0799,0.0874,0.1656,0.0624,0.0807,0.0861,0.0728,0.076,0.0944,checkpoint-333,333,Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0626,0.0983,0.1173,0.0787,0.0846,0.1552,0.0626,0.0789,0.0837,0.0721,0.0745,0.0912,checkpoint-666,666,Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.066,0.0961,0.1134,0.0802,0.0849,0.1522,0.066,0.0796,0.084,0.0741,0.0761,0.0917,checkpoint-999,999,Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0635,0.1014,0.1245,0.0823,0.0894,0.1674,0.0635,0.0812,0.087,0.0745,0.0773,0.0955,checkpoint-1332,1332,Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0662,0.1005,0.1217,0.0802,0.0875,0.1668,0.0662,0.0815,0.0869,0.0744,0.0775,0.0958,checkpoint-1665,1665,Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0273,0.0484,0.0826,0.0321,0.0363,0.1046,0.0273,0.0356,0.0441,0.0301,0.0318,0.0485,checkpoint-666,666,Instruments-grec-grpo-prefix-tokenadv-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.039,0.0597,0.0774,0.045,0.0496,0.0991,0.039,0.0476,0.052,0.0425,0.0444,0.0564,checkpoint-999,999,Instruments-grec-grpo-prefix-tokenadv-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0328,0.054,0.0765,0.0377,0.0421,0.0982,0.0328,0.0412,0.0469,0.0356,0.0374,0.0513,checkpoint-1332,1332,Instruments-grec-grpo-prefix-tokenadv-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.051,0.0918,0.1146,0.0676,0.0767,0.1605,0.051,0.0694,0.0751,0.0608,0.0645,0.0841,checkpoint-333,333,Instruments-grec-grpo-prefix-tokenadv-totalnorm-errtok-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0586,0.0979,0.1178,0.0743,0.0821,0.1596,0.0586,0.0761,0.081,0.0677,0.071,0.0893,checkpoint-666,666,Instruments-grec-grpo-prefix-tokenadv-totalnorm-errtok-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0651,0.0968,0.1155,0.0785,0.0853,0.1513,0.0651,0.0796,0.0843,0.0732,0.0759,0.0914,checkpoint-999,999,Instruments-grec-grpo-prefix-tokenadv-totalnorm-errtok-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0621,0.0974,0.1186,0.0773,0.0833,0.1604,0.0621,0.078,0.0833,0.071,0.0734,0.0915,checkpoint-1332,1332,Instruments-grec-grpo-prefix-tokenadv-totalnorm-errtok-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0685,0.1055,0.1289,0.0826,0.09,0.171,0.0685,0.0848,0.0907,0.0769,0.0799,0.0991,checkpoint-1665,1665,Instruments-grec-grpo-prefix-tokenadv-totalnorm-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0722,0.1106,0.1334,0.0844,0.0932,0.176,0.0722,0.0885,0.0942,0.0793,0.0829,0.1026,checkpoint-1998,1998,Instruments-grec-grpo-prefix-tokenadv-totalnorm-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0742,0.1123,0.1363,0.0869,0.0956,0.1805,0.0742,0.0904,0.0964,0.0815,0.0851,0.1052,checkpoint-2997,2997,Instruments-grec-grpo-prefix-tokenadv-totalnorm-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0743,0.1125,0.1363,0.0875,0.0961,0.1809,0.0743,0.0906,0.0966,0.0819,0.0854,0.1054,checkpoint-3326,3326,Instruments-grec-grpo-prefix-tokenadv-totalnorm-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0639,0.095,0.1128,0.076,0.0827,0.1488,0.0639,0.0776,0.0821,0.0708,0.0736,0.0891,checkpoint-333,333,Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0705,0.102,0.1215,0.082,0.0887,0.1578,0.0705,0.0842,0.089,0.0771,0.0799,0.0962,checkpoint-666,666,Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0663,0.1035,0.122,0.0819,0.0906,0.1618,0.0663,0.0833,0.0879,0.0755,0.0791,0.0958,checkpoint-999,999,Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0709,0.1049,0.1229,0.0852,0.0921,0.1612,0.0709,0.0862,0.0907,0.0793,0.0821,0.0982,checkpoint-1332,1332,Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0705,0.1036,0.1224,0.0844,0.0907,0.1564,0.0705,0.0855,0.0902,0.0787,0.0813,0.0969,checkpoint-1998,1998,Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0699,0.1024,0.1207,0.0851,0.0916,0.1537,0.0699,0.0849,0.0895,0.0788,0.0815,0.0961,checkpoint-2331,2331,Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.075,0.1108,0.1315,0.0878,0.0952,0.1726,0.075,0.0904,0.0957,0.0824,0.0855,0.1038,checkpoint-333,333,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0747,0.1082,0.1306,0.0881,0.095,0.1694,0.0747,0.0896,0.0952,0.0826,0.0854,0.1029,checkpoint-666,666,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0794,0.1128,0.1344,0.0911,0.0983,0.1723,0.0794,0.0938,0.0992,0.0862,0.0891,0.1067,checkpoint-999,999,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0795,0.1107,0.1303,0.0896,0.0972,0.1665,0.0795,0.0928,0.0977,0.0853,0.0884,0.1049,checkpoint-1332,1332,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0808,0.1145,0.1337,0.0923,0.1002,0.1696,0.0808,0.0952,0.1,0.0873,0.0906,0.1071,checkpoint-1665,1665,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0806,0.1104,0.1283,0.0915,0.0976,0.1597,0.0806,0.0934,0.0979,0.0868,0.0893,0.1041,checkpoint-1998,1998,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0811,0.1099,0.1292,0.0917,0.0982,0.1606,0.0811,0.0936,0.0985,0.0871,0.0898,0.1046,checkpoint-2331,2331,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0817,0.112,0.1322,0.0912,0.0993,0.1618,0.0817,0.0946,0.0997,0.0872,0.0905,0.1055,checkpoint-2664,2664,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0811,0.1123,0.1313,0.0914,0.0989,0.1623,0.0811,0.0945,0.0992,0.0871,0.0902,0.1054,checkpoint-2997,2997,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0812,0.1116,0.1317,0.0917,0.0996,0.1624,0.0812,0.0944,0.0995,0.0873,0.0906,0.1056,checkpoint-3326,3326,Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0685,0.1091,0.1333,0.0837,0.0933,0.1768,0.0685,0.0863,0.0924,0.0773,0.0813,0.101,checkpoint-333,333,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0708,0.1083,0.1338,0.0851,0.0936,0.1795,0.0708,0.0874,0.0938,0.0792,0.0827,0.1028,checkpoint-666,666,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0733,0.1111,0.1338,0.0877,0.0951,0.18,0.0733,0.0898,0.0955,0.0817,0.0847,0.1046,checkpoint-999,999,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0722,0.1112,0.136,0.0859,0.0951,0.1815,0.0722,0.0891,0.0953,0.0801,0.0839,0.1043,checkpoint-1332,1332,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.073,0.1138,0.1358,0.0888,0.0982,0.1822,0.073,0.0911,0.0966,0.0822,0.0861,0.1058,checkpoint-1665,1665,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0738,0.1093,0.1319,0.0875,0.0959,0.1723,0.0738,0.0895,0.0951,0.0817,0.0851,0.1032,checkpoint-1998,1998,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0752,0.1102,0.1327,0.0882,0.0969,0.1736,0.0752,0.0905,0.0962,0.0827,0.0863,0.1043,checkpoint-2331,2331,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0742,0.1093,0.1314,0.0875,0.0948,0.1716,0.0742,0.0896,0.0951,0.0819,0.0849,0.1031,checkpoint-2664,2664,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0751,0.1091,0.1314,0.088,0.0953,0.1729,0.0751,0.0899,0.0955,0.0825,0.0855,0.1037,checkpoint-2997,2997,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0748,0.1089,0.1312,0.0877,0.095,0.1727,0.0748,0.0897,0.0954,0.0823,0.0853,0.1036,checkpoint-3326,3326,Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0645,0.11,0.1342,0.0834,0.0924,0.1803,0.0645,0.0849,0.0909,0.0755,0.0792,0.1001,checkpoint-333,333,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.07,0.1126,0.1361,0.0872,0.0954,0.1866,0.07,0.0889,0.0948,0.08,0.0833,0.1048,checkpoint-666,666,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0697,0.1122,0.1384,0.0879,0.0953,0.1908,0.0697,0.0888,0.0953,0.0803,0.0833,0.1057,checkpoint-999,999,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,
